#Types Before Cut: 11091
#Types After Cut: 9690
#Search Hits: 0
242	13	34.276	сижу
243	13	34.276	спать
244	13	34.276	твои
245	13	34.276	учились
246	20	33.597	другому
247	17	33.282	пошла
248	15	32.691	будешь
249	15	32.691	понял
250	15	32.691	поняла
251	28	32.430	таки
252	34	32.309	голос
253	24	32.272	принципе
254	18	32.103	дом
255	12	31.640	берег
256	12	31.640	весело
257	12	31.640	детстве
258	12	31.640	квартиру
259	12	31.640	круто
260	12	31.640	любят
261	12	31.640	поговорить
262	12	31.640	пятьдесят
263	12	31.640	смешно
264	36	31.629	две
265	113	31.000	даже
266	16	30.874	школа
267	16	30.874	языке
268	20	30.827	дочка
269	49	30.676	всегда
270	21	30.502	язык
271	14	30.188	домой
272	17	29.783	давайте
273	11	29.003	inan
274	11	29.003	давали
275	11	29.003	девочки
276	11	29.003	девяносто
277	11	29.003	здорово
278	11	29.003	знала
279	11	29.003	кадра
280	11	29.003	классно
281	11	29.003	кхм
282	11	29.003	понимаешь
283	11	29.003	расскажу
284	11	29.003	рассказчик
285	11	29.003	смеётся
286	11	29.003	смотри
287	11	29.003	соседка
288	11	29.003	училась
289	11	29.003	холодно
290	19	28.647	младший
291	26	28.628	самое
292	26	28.628	смысле
293	15	28.480	играть
294	21	28.238	жить
295	21	28.238	хоть
296	156	27.919	или
297	13	27.694	концерт
298	13	27.694	мать
299	13	27.694	семья
300	13	27.694	ходить
301	13	27.694	честно
302	17	26.864	моей
303	18	26.489	понимаю
304	10	26.366	бывают
305	10	26.366	вкус
306	10	26.366	восемьдесят
307	10	26.366	дед
308	10	26.366	дедушка
309	10	26.366	ехать
310	10	26.366	забыл
311	10	26.366	иии
312	10	26.366	кашель
313	10	26.366	нуу
314	10	26.366	озеро
315	10	26.366	пол
316	10	26.366	прикольно
317	10	26.366	ребята
318	10	26.366	своё
319	10	26.366	слушай
320	10	26.366	смешок
321	10	26.366	собака
322	10	26.366	ушёл
323	19	26.279	н
324	19	26.279	слово
325	22	26.260	какую
326	22	26.260	часов
327	14	26.102	собственно
328	27	25.784	моя
329	12	25.211	вдруг
330	12	25.211	делаю
331	12	25.211	купил
332	15	25.198	ж
333	50	25.117	день
334	39	25.023	людей
335	16	24.661	читать
336	18	24.204	тему
337	146	24.116	был
338	29	23.852	старший
339	13	23.742	какими
340	13	23.742	маленький
341	13	23.742	машина
342	13	23.742	смотреть
343	9	23.730	n
344	9	23.730	ар
345	9	23.730	видишь
346	9	23.730	грустный
347	9	23.730	двенадцать
348	9	23.730	двести
349	9	23.730	кошки
350	9	23.730	папа
351	9	23.730	переехали
352	9	23.730	подожди
353	9	23.730	смесь
354	9	23.730	танцами
355	9	23.730	твой
356	9	23.730	учителя
357	9	23.730	чай
358	9	23.730	эмм
359	35	23.164	четыре
360	27	23.073	каждый
